Fecha: 2025-12-09
Hora: 14:13:40
"Canales activos: CH1=True, CH2=False, CH3=False"
Operación: Ninguna
Trigger: Desactivado
Tiempo (s),CH1 (V),CH2 (V),CH3 (V),Operación (V)
0.604412,0.5083,nan,nan,nan
0.607128,0.479,nan,nan,nan
0.609848,0.3666,nan,nan,nan
0.612576,0.2395,nan,nan,nan
0.615288,0.1955,nan,nan,nan
0.618008,0.259,nan,nan,nan
0.620728,0.391,nan,nan,nan
0.623448,0.4936,nan,nan,nan
0.626168,0.5034,nan,nan,nan
0.628888,0.4106,nan,nan,nan
0.631608,0.2786,nan,nan,nan
0.634328,0.2004,nan,nan,nan
0.637048,0.2248,nan,nan,nan
0.639768,0.3421,nan,nan,nan
0.642488,0.4643,nan,nan,nan
0.645216,0.5132,nan,nan,nan
0.647928,0.4545,nan,nan,nan
0.650648,0.3275,nan,nan,nan
0.653368,0.2151,nan,nan,nan
0.656088,0.2053,nan,nan,nan
0.658808,0.2933,nan,nan,nan
0.661528,0.4252,nan,nan,nan
0.664248,0.5083,nan,nan,nan
0.666968,0.4839,nan,nan,nan
0.669688,0.3715,nan,nan,nan
0.672408,0.2493,nan,nan,nan
0.675128,0.1955,nan,nan,nan
0.677848,0.2542,nan,nan,nan
0.680568,0.3812,nan,nan,nan
0.683288,0.4888,nan,nan,nan
0.686008,0.5034,nan,nan,nan
0.688728,0.4154,nan,nan,nan
0.691452,0.2835,nan,nan,nan
0.694168,0.2004,nan,nan,nan
0.696888,0.2248,nan,nan,nan
0.699616,0.3372,nan,nan,nan
0.702328,0.4594,nan,nan,nan
0.705048,0.5132,nan,nan,nan
0.707768,0.4594,nan,nan,nan
0.710488,0.3275,nan,nan,nan
0.713208,0.2151,nan,nan,nan
0.715928,0.2053,nan,nan,nan
0.718648,0.2884,nan,nan,nan
0.721368,0.4203,nan,nan,nan
0.724088,0.5034,nan,nan,nan
0.726808,0.4888,nan,nan,nan
0.729528,0.3763,nan,nan,nan
0.732256,0.2542,nan,nan,nan
0.734968,0.1955,nan,nan,nan
0.737688,0.2493,nan,nan,nan
0.740408,0.3763,nan,nan,nan
0.743128,0.4839,nan,nan,nan
0.745848,0.5034,nan,nan,nan
0.748568,0.4203,nan,nan,nan
0.751288,0.2884,nan,nan,nan
0.754008,0.2053,nan,nan,nan
0.756728,0.2199,nan,nan,nan
0.759448,0.3324,nan,nan,nan
0.762168,0.4545,nan,nan,nan
0.764888,0.5132,nan,nan,nan
0.767608,0.4594,nan,nan,nan
0.770328,0.3372,nan,nan,nan
0.773048,0.2248,nan,nan,nan
0.775768,0.2053,nan,nan,nan
0.778492,0.2835,nan,nan,nan
0.781208,0.4154,nan,nan,nan
0.783928,0.5034,nan,nan,nan
0.786656,0.4888,nan,nan,nan
0.789368,0.3812,nan,nan,nan
0.792088,0.2542,nan,nan,nan
0.794808,0.1955,nan,nan,nan
0.797528,0.2444,nan,nan,nan
0.800248,0.3666,nan,nan,nan
0.802968,0.4839,nan,nan,nan
0.805688,0.5083,nan,nan,nan
0.808408,0.4252,nan,nan,nan
0.811128,0.2884,nan,nan,nan
0.813848,0.2053,nan,nan,nan
0.816568,0.2199,nan,nan,nan
0.819296,0.3226,nan,nan,nan
0.822008,0.4497,nan,nan,nan
0.824728,0.5132,nan,nan,nan
0.827448,0.4643,nan,nan,nan
0.830168,0.3421,nan,nan,nan
0.832888,0.2248,nan,nan,nan
0.835608,0.2004,nan,nan,nan
0.838328,0.2835,nan,nan,nan
0.841048,0.4106,nan,nan,nan
0.843768,0.5034,nan,nan,nan
0.846488,0.4888,nan,nan,nan
0.849208,0.391,nan,nan,nan
